iter	Passed	Remaining
0	270	135228
1	532	132494
2	791	131179
3	1077	133616
4	1420	140675
5	2439	200880
6	2755	194036
7	3010	185120
8	3283	179139
9	3592	176043
10	3865	171828
11	4113	167286
12	4370	163735
13	4626	160605
14	4884	157942
15	5138	155431
16	5402	153484
17	5662	151620
18	5886	149012
19	6117	146826
20	6333	144454
21	6585	143088
22	6832	141693
23	7108	140983
24	7383	140288
25	7626	139032
26	7867	137833
27	8124	136960
28	8351	135631
29	8593	134631
30	8846	133834
31	9108	133214
32	9368	132575
33	9672	132566
34	9969	132449
35	10203	131510
36	10475	131085
37	10742	130606
38	10994	129958
39	11248	129359
40	11513	128893
41	11722	127836
42	11976	127283
43	12222	126665
44	12462	126012
45	12704	125384
46	12971	125024
47	13204	124345
48	13500	124264
49	13756	123810
50	14004	123293
51	14273	122970
52	14524	122502
53	14754	121864
54	14990	121288
55	15217	120655
56	15477	120292
57	15740	119950
58	15984	119477
59	16256	119216
60	16490	118675
61	17006	120145
62	17281	119872
63	17511	119296
64	17766	118900
65	18015	118465
66	18297	118252
67	18564	117936
68	18819	117551
69	19099	117327
70	19367	117021
71	19612	116584
72	19854	116136
73	20114	115795
74	20382	115498
75	20631	115100
76	20852	114551
77	21088	114095
78	21349	113771
79	21597	113384
80	21888	113223
81	22144	112884
82	22398	112531
83	22656	112205
84	22874	111681
85	23140	111398
86	23411	111137
87	23629	110628
88	23862	110197
89	24114	109853
90	24324	109324
91	24574	108984
92	24795	108512
93	25008	108015
94	25252	107655
95	25499	107309
96	25769	107062
97	25999	106651
98	26244	106303
99	26473	105895
100	26694	105456
101	26919	105039
102	27159	104684
103	27424	104424
104	27661	104059
105	27899	103702
106	28150	103392
107	28379	103007
108	28650	102773
109	28900	102465
110	29169	102223
111	29403	101860
112	29675	101630
113	29918	101301
114	30155	100956
115	30434	100748
116	30658	100362
117	30884	99982
118	31137	99692
119	31391	99407
120	31644	99117
121	32003	99158
122	32348	99150
123	32558	98724
124	32770	98310
125	32994	97935
126	33257	97676
127	33500	97362
128	33738	97030
129	33982	96720
130	34236	96436
131	34480	96128
132	34757	95910
133	34992	95577
134	35244	95290
135	35478	94958
136	35724	94658
137	35948	94300
138	36186	93981
139	36418	93646
140	36648	93311
141	36940	93132
142	37216	92910
143	37448	92581
144	37695	92289
145	37915	91931
146	38142	91593
147	38374	91269
148	38605	90943
149	38871	90699
150	39121	90420
151	39368	90132
152	39596	89804
153	39833	89496
154	40091	89236
155	40318	88907
156	40525	88536
157	40774	88259
158	41017	87967
159	41231	87615
160	41487	87354
161	41805	87222
162	42041	86919
163	42277	86617
164	42526	86341
165	42785	86085
166	43003	85749
167	43254	85479
168	43492	85183
169	43728	84884
170	43998	84652
171	44239	84363
172	44459	84035
173	44724	83793
174	44974	83523
175	45196	83202
176	45422	82889
177	45686	82646
178	45972	82441
179	46217	82164
180	46469	81899
181	46668	81541
182	46877	81202
183	47369	81352
184	47609	81065
185	47810	80712
186	48060	80443
187	48284	80132
188	48499	79805
189	48761	79558
190	49023	79309
191	49238	78986
192	49433	78632
193	49656	78324
194	49851	77973
195	50093	77696
196	50332	77415
197	50520	77057
198	50753	76767
199	50925	76388
200	51130	76059
201	51353	75758
202	51571	75452
203	51785	75139
204	51990	74815
205	52187	74481
206	52423	74203
207	52706	73991
208	52889	73641
